YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2015,2015-12-31,21500489,UTA,109.0,POR,96.0,0.5,0.449,0.727,0.714,0.455,0.444,19.0,19.0,42.0,39.0,5.0,10.0,,UTA,1.0
2016,2016-01-01,21500490,WAS,103.0,ORL,91.0,0.467,0.471,0.9,0.75,0.308,0.25,25.0,29.0,46.0,39.0,9.0,15.0,,WAS,1.0
2016,2016-01-01,21500491,MIA,106.0,DAL,82.0,0.561,0.364,0.667,0.786,0.444,0.226,24.0,22.0,50.0,40.0,12.0,9.0,,MIA,1.0
2016,2016-01-01,21500492,TOR,104.0,CHA,94.0,0.396,0.4,0.944,0.889,0.455,0.313,21.0,15.0,54.0,43.0,13.0,10.0,,TOR,1.0
2016,2016-01-01,21500493,CHI,108.0,NYK,81.0,0.459,0.369,0.8,0.765,0.625,0.316,27.0,16.0,54.0,42.0,7.0,11.0,,CHI,1.0
2016,2016-01-01,21500494,LAL,93.0,PHI,84.0,0.379,0.369,0.759,0.72,0.313,0.167,17.0,21.0,50.0,50.0,10.0,16.0,,LAL,1.0
2016,2016-01-02,21500495,BOS,97.0,BKN,100.0,0.386,0.409,0.786,0.955,0.219,0.167,17.0,23.0,51.0,50.0,14.0,14.0,,BOS,0.0
2016,2016-01-02,21500496,SAC,142.0,PHX,119.0,0.609,0.518,0.794,0.821,0.391,0.345,30.0,27.0,46.0,25.0,14.0,16.0,,SAC,1.0
2016,2016-01-02,21500497,CHA,90.0,OKC,109.0,0.345,0.443,0.765,0.811,0.273,0.391,18.0,20.0,34.0,53.0,4.0,12.0,,CHA,0.0
2016,2016-01-02,21500498,IND,94.0,DET,82.0,0.452,0.355,0.724,0.565,0.389,0.15,11.0,17.0,47.0,48.0,13.0,10.0,,IND,1.0
2016,2016-01-02,21500499,CLE,104.0,ORL,79.0,0.415,0.382,0.615,0.882,0.324,0.24,24.0,16.0,53.0,45.0,4.0,14.0,,CLE,1.0
2016,2016-01-02,21500500,MIN,85.0,MIL,95.0,0.393,0.427,0.667,0.821,0.214,0.5,19.0,20.0,47.0,48.0,16.0,13.0,,MIN,0.0
2016,2016-01-02,21500501,DAL,98.0,NOP,105.0,0.434,0.482,0.842,0.792,0.385,0.3,20.0,19.0,33.0,53.0,13.0,19.0,,DAL,0.0
2016,2016-01-02,21500502,SAS,121.0,HOU,103.0,0.523,0.5,0.947,0.606,0.542,0.409,31.0,26.0,39.0,37.0,11.0,15.0,,SAS,1.0
2016,2016-01-02,21500503,UTA,92.0,MEM,87.0,0.413,0.407,0.75,0.538,0.333,0.389,17.0,17.0,48.0,40.0,16.0,11.0,,UTA,1.0
2016,2016-01-02,21500504,GSW,111.0,DEN,108.0,0.5,0.419,0.652,0.652,0.357,0.167,34.0,27.0,47.0,52.0,13.0,13.0,,GSW,1.0
2016,2016-01-02,21500505,LAC,130.0,PHI,99.0,0.605,0.461,0.8,0.471,0.522,0.391,28.0,30.0,47.0,33.0,14.0,12.0,,LAC,1.0
2016,2016-01-03,21500506,NYK,111.0,ATL,97.0,0.5,0.44,0.857,0.75,0.423,0.308,27.0,26.0,46.0,32.0,16.0,15.0,,NYK,1.0
2016,2016-01-03,21500507,TOR,113.0,CHI,115.0,0.457,0.512,0.842,0.88,0.419,0.429,21.0,23.0,37.0,42.0,8.0,11.0,,TOR,0.0
2016,2016-01-03,21500508,WAS,75.0,MIA,97.0,0.341,0.453,0.692,0.833,0.133,0.391,19.0,27.0,45.0,54.0,10.0,12.0,,WAS,0.0
2016,2016-01-03,21500509,DEN,106.0,POR,112.0,0.425,0.513,0.646,0.688,0.318,0.435,20.0,23.0,41.0,41.0,8.0,10.0,,DEN,0.0
2016,2016-01-03,21500510,LAL,97.0,PHX,77.0,0.452,0.36,0.765,0.778,0.364,0.222,26.0,16.0,54.0,45.0,15.0,14.0,,LAL,1.0
2016,2016-01-04,21500511,CLE,122.0,TOR,100.0,0.554,0.493,0.885,0.69,0.515,0.421,25.0,24.0,40.0,26.0,13.0,9.0,,CLE,1.0
2016,2016-01-04,21500512,PHI,109.0,MIN,99.0,0.552,0.534,0.643,0.792,0.2,0.4,31.0,26.0,37.0,27.0,16.0,16.0,,PHI,1.0
2016,2016-01-04,21500513,BKN,94.0,BOS,103.0,0.376,0.446,0.889,0.789,0.214,0.286,16.0,22.0,53.0,48.0,14.0,7.0,,BKN,0.0
2016,2016-01-04,21500514,DET,115.0,ORL,89.0,0.489,0.444,0.714,1.0,0.467,0.3,25.0,17.0,54.0,30.0,10.0,8.0,,DET,1.0
2016,2016-01-04,21500515,MIA,103.0,IND,100.0,0.378,0.394,0.769,0.72,0.227,0.286,14.0,18.0,52.0,55.0,7.0,10.0,,MIA,1.0
2016,2016-01-04,21500516,MIL,98.0,SAS,123.0,0.481,0.544,0.7,0.8,0.25,0.45,23.0,32.0,35.0,44.0,15.0,13.0,,MIL,0.0
2016,2016-01-04,21500517,OKC,104.0,SAC,116.0,0.438,0.449,0.696,0.744,0.345,0.412,23.0,26.0,39.0,48.0,15.0,15.0,,OKC,0.0
2016,2016-01-04,21500518,UTA,91.0,HOU,93.0,0.4,0.485,0.76,0.762,0.414,0.423,17.0,17.0,44.0,34.0,15.0,16.0,,UTA,0.0
2016,2016-01-04,21500519,POR,78.0,MEM,91.0,0.389,0.385,0.625,0.692,0.25,0.2,14.0,21.0,42.0,52.0,21.0,11.0,,POR,0.0
2016,2016-01-04,21500520,GSW,111.0,CHA,101.0,0.517,0.442,1.0,0.947,0.441,0.333,32.0,15.0,37.0,41.0,11.0,11.0,,GSW,1.0
2016,2016-01-05,21500521,ATL,101.0,NYK,107.0,0.425,0.476,0.632,0.917,0.385,0.278,22.0,20.0,41.0,46.0,13.0,9.0,,ATL,0.0
2016,2016-01-05,21500522,CHI,117.0,MIL,106.0,0.554,0.451,1.0,0.571,0.263,0.375,27.0,28.0,45.0,43.0,15.0,10.0,,CHI,1.0
2016,2016-01-05,21500523,DAL,117.0,SAC,116.0,0.459,0.475,0.652,0.714,0.414,0.375,22.0,27.0,55.0,49.0,17.0,19.0,,DAL,1.0
2016,2016-01-05,21500524,LAL,88.0,GSW,109.0,0.319,0.465,0.833,0.762,0.238,0.419,15.0,26.0,52.0,54.0,12.0,10.0,,LAL,0.0
2016,2016-01-06,21500525,MIA,90.0,NYK,98.0,0.451,0.557,0.933,0.944,0.118,0.375,14.0,15.0,35.0,34.0,13.0,11.0,,MIA,0.0
2016,2016-01-06,21500526,ORL,86.0,IND,95.0,0.405,0.421,0.941,0.862,0.194,0.273,17.0,19.0,39.0,42.0,17.0,16.0,,ORL,0.0
